since feeling is first		

since feeling is first	Sadness	Sadness
who pays any attention	Sadness	Sadness
to the syntax of things	Sadness	Sadness
will never wholly kiss you;	Sadness	Sadness
wholly to be a fool	Sadness	Sadness
while Spring is in the world	Sadness	Sadness

my blood approves	Beauty / Joy	Beauty / Joy
and kisses are a better fate	Beauty / Joy	Beauty / Joy
than wisdom	Beauty / Joy	Beauty / Joy
lady i swear by all flowers.	Beauty / Joy	Beauty / Joy
Don"t cry	Beauty / Joy	Beauty / Joy
?the best gesture of my brain is less than	Beauty / Joy	Beauty / Joy
your eyelids" flutter which says	Beauty / Joy	Beauty / Joy

we are for each other: then	Beauty / Joy	Beauty / Joy
laugh, leaning back in my arms	Beauty / Joy	Beauty / Joy
for life"s not a paragraph	Beauty / Joy	Awe / Sublime --- Beauty / Joy

and death i think is no parenthesis	Sadness	Awe / Sublime --- Sadness


How Do I Love Thee? (Sonnet 43)		

How do I love thee?	Beauty / Joy --- Awe / Sublime	Beauty / Joy
Let me count the ways.	Beauty / Joy --- Awe / Sublime	Beauty / Joy
I love thee to the depth and breadth and height	Beauty / Joy --- Awe / Sublime	Beauty / Joy
My soul can reach, when feeling out of sight	Beauty / Joy --- Awe / Sublime	Beauty / Joy
For the ends of being and ideal grace.	Beauty / Joy --- Awe / Sublime	Beauty / Joy
I love thee to the level of every day"s	Beauty / Joy	Beauty / Joy
Most quiet need, by sun and candle-light.	Beauty / Joy	Beauty / Joy
I love thee freely, as men strive for right.	Beauty / Joy	Beauty / Joy
I love thee purely, as they turn from praise.	Beauty / Joy	Beauty / Joy
I love thee with the passion put to use	Beauty / Joy	Beauty / Joy
In my old griefs, and with my childhood"s faith.	Beauty / Joy	Beauty / Joy
I love thee with a love I seemed to lose	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Awe / Sublime
With my lost saints.	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Awe / Sublime
I love thee with the breath,	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Awe / Sublime
Smiles, tears, of all my life; and, if God choose,	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Awe / Sublime
I shall but love thee better after death.	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Awe / Sublime


The Good-Morrow		

