Weltende		

Es ist ein Weinen in der Welt,	Sadness	Sadness
Als ob der liebe Gott gestorben wär,	Sadness	Sadness
Und der bleierne Schatten, der niederfällt,	Sadness	Sadness
Lastet grabesschwer.	Sadness	Sadness

Komm, wir wollen uns näher verbergen?	Sadness	Sadness
Das Leben liegt in aller Herzen	Sadness	Sadness --- Uneasiness
Wie in Särgen.	Sadness	Sadness --- Uneasiness

Du! wir wollen uns tief küssen -	Sadness --- Vitality	Sadness
Es pocht eine Sehnsucht an die Welt,	Sadness --- Vitality	Sadness --- Uneasiness
An der wir sterben müssen.	Sadness	Sadness --- Uneasiness


Die Irren		

Der Mond tritt aus der gelben Wolkenwand.	Uneasiness	Uneasiness
Die Irren hängen an den Gitterstäben,	Uneasiness	Uneasiness
Wie große Spinnen, die an Mauern kleben.	Uneasiness	Uneasiness
Entlang den Gartenzaun fährt ihre Hand.	Uneasiness	Uneasiness

In offnen Sälen sieht man Tänzer schweben.	Uneasiness --- Beauty / Joy	Suspense
Der Ball der Irren ist es. Plötzlich schreit	Uneasiness	Suspense --- Uneasiness
Der Wahnsinn auf. Das Brüllen pflanzt sich weit,	Uneasiness	Suspense --- Uneasiness
Daß alle Mauern von dem Lärme beben.	Uneasiness	Suspense --- Uneasiness

Mit dem er eben über Hume gesprochen,	Sadness --- Uneasiness	Humor
Den Arzt ergreift ein Irrer mit Gewalt.	Sadness --- Uneasiness	Humor
Er liegt im Blut. Sein Schädel ist zebrochen.	Sadness --- Uneasiness	Uneasiness

Der Haufe Irrer schaut vergnügt. Doch bald	Sadness --- Uneasiness	Uneasiness
Enthuschen sie, da fern die Peitsche knallt,	Sadness --- Uneasiness	Uneasiness
Den Mäusen gleich, die in die Erde krochen.	Sadness --- Uneasiness	Uneasiness


An die Verstummten		

O, der Wahnsinn der großen Stadt, da am Abend	Uneasiness	Uneasiness
An schwarzer Mauer verkrüppelte Bäume starren,	Uneasiness	Uneasiness
Aus silberner Maske der Geist des Bösen schaut;	Uneasiness	Uneasiness
Licht mit magnetischer Geißel die steinerne Nacht verdrängt.	Uneasiness --- Beauty / Joy	Beauty / Joy
O, das versunkene Läuten der Abendglocken.	Uneasiness --- Beauty / Joy	Beauty / Joy

Hure, die in eisigen Schauern ein totes Kindlein gebärt.	Uneasiness	Uneasiness
Rasend peitscht Gottes Zorn die Stirne der Besessenen,	Uneasiness	Uneasiness
Purpurne Seuche, Hunger, der grüne Augen zerbricht.	Uneasiness	Uneasiness
O, das gräßliche Lachen des Golds.	Uneasiness --- Sadness	Uneasiness

Aber stille blutet in dunkler Höhle stummere Menschheit,	Uneasiness	Uneasiness
Fügt aus harten Metallen das erlösende Haupt.	Uneasiness	Uneasiness


Der Spruch		

In einem alten Buche stieß ich auf ein Wort,	Awe / Sublime --- Suspense	Suspense
Das traf mich wie ein Schlag und brennt durch meine Tage fort:	Awe / Sublime --- Suspense	Suspense
Und wenn ich mich an trübe Lust vergebe,	Awe / Sublime	Awe / Sublime --- Suspense
Schein, Lug und Spiel zu mir anstatt des Wesens hebe,	Awe / Sublime	Awe / Sublime --- Suspense
Wenn ich gefällig mich mit raschem Sinn belüge,	Awe / Sublime	Awe / Sublime --- Suspense
Als wäre Dunkles klar, als wenn nicht Leben tausend wild verschloßne Tore trüge,	Awe / Sublime	Awe / Sublime --- Suspense
Und Worte wiederspreche, deren Weite nie ich ausgefühlt,	Awe / Sublime	Awe / Sublime --- Suspense
Und Dinge fasse, deren Sein mich niemals aufgewühlt,	Awe / Sublime	Awe / Sublime --- Suspense
Wenn mich willkommner Traum mit Sammethänden streicht,	Awe / Sublime	Awe / Sublime --- Suspense
Und Tag und Wirklichkeit von mir entweicht,	Awe / Sublime	Awe / Sublime --- Suspense
Der Welt entfremdet, fremd dem tiefsten Ich,	Awe / Sublime	Awe / Sublime --- Suspense
Dann steht das Wort mir auf: Mensch, werde wesentlich!	Awe / Sublime	Awe / Sublime --- Suspense


Nachthimmel und Sternenfall		

Der Himmel, groß, voll herrlicher Verhaltung,	Awe / Sublime	Awe / Sublime
ein Vorrat Raum, ein Übermaß von Welt.	Awe / Sublime	Awe / Sublime
Und wir, zu ferne für die Angestaltung,	Awe / Sublime --- Sadness	Awe / Sublime --- Sadness
zu nahe für die Abkehr hingestellt.	Awe / Sublime --- Sadness	Awe / Sublime --- Sadness

Da fällt ein Stern! Und unser Wunsch an ihn,	Beauty / Joy	Beauty / Joy --- Suspense
bestürzten Aufblicks, dringend angeschlossen:	Sadness --- Beauty / Joy	Beauty / Joy --- Suspense
Was ist begonnen, und was ist verflossen?	Sadness --- Beauty / Joy	Awe / Sublime --- Beauty / Joy
Was ist verschuldet? Und was ist verziehn?	Sadness --- Beauty / Joy	Awe / Sublime --- Beauty / Joy


Auf dem See / aufm Zürichersee		

Und frische Nahrung, neues Blut	Vitality	Beauty / Joy --- Vitality
Saug? ich aus freyer Welt;	Vitality	Beauty / Joy --- Vitality
Wie ist Natur so hold und gut,	Vitality	Beauty / Joy --- Vitality
Die mich am Busen hält!	Vitality	Beauty / Joy --- Vitality
Die Welle wieget unsern Kahn	Beauty / Joy	Beauty / Joy --- Vitality
Im Rudertakt hinauf,	Beauty / Joy	Beauty / Joy --- Vitality
Und Berge, wolkig himmelan,	Beauty / Joy	Beauty / Joy --- Vitality
Begegnen unserm Lauf.	Beauty / Joy	Beauty / Joy --- Vitality

Aug?, mein Aug?, was sinkst du nieder?	Vitality --- Sadness	Sadness
Goldne Träume kommt ihr wieder?	Vitality --- Sadness	Sadness
Weg, du Traum! so Gold du bist;	Vitality	Vitality
Hier auch Lieb? und Leben ist.	Vitality	Vitality

Auf der Welle blinken	Beauty / Joy	Beauty / Joy
Tausend schwebende Sterne,	Beauty / Joy	Beauty / Joy
Weiche Nebel trinken	Beauty / Joy	Beauty / Joy
Rings die thürmende Ferne;	Beauty / Joy	Beauty / Joy
Morgenwind umflügelt	Beauty / Joy	Beauty / Joy
Die beschattete Bucht,	Beauty / Joy	Beauty / Joy
Und im See bespiegelt	Beauty / Joy	Beauty / Joy
Sich die reifende Frucht.	Beauty / Joy	Beauty / Joy


Heidenröslein / Heideröslein		

Sah ein Knab? ein Röslein stehn,	Suspense --- Beauty / Joy	Beauty / Joy
Röslein auf der Heiden,	Suspense --- Beauty / Joy	Beauty / Joy
War so jung und morgenschön,	Suspense --- Beauty / Joy	Beauty / Joy
Lief er schnell es nah zu sehn,	Suspense --- Beauty / Joy	Beauty / Joy
Sah?s mit vielen Freuden.	Suspense --- Beauty / Joy	Beauty / Joy
Röslein, Röslein, Röslein roth,	Suspense --- Beauty / Joy	Beauty / Joy
Röslein auf der Heiden.	Suspense --- Beauty / Joy	Beauty / Joy

Knabe sprach: ich breche dich,	Beauty / Joy --- Suspense	Suspense
Röslein auf der Heiden!	Beauty / Joy --- Suspense	Suspense
Röslein sprach: ich steche dich,	Beauty / Joy	Beauty / Joy
Daß du ewig denkst an mich,	Beauty / Joy	Beauty / Joy
Und ich will?s nicht leiden.	Beauty / Joy	Beauty / Joy
Röslein, Röslein, Röslein roth,	Beauty / Joy	Beauty / Joy
Röslein auf der Heiden.	Beauty / Joy	Beauty / Joy

Und der wilde Knabe brach	Beauty / Joy --- Humor	Sadness
?s Röslein auf der Heiden;	Beauty / Joy --- Humor	Sadness
Röslein wehrte sich und stach,	Beauty / Joy --- Humor	Sadness
Half ihm doch kein Weh und Ach,	Beauty / Joy --- Humor	Sadness
Mußt? es eben leiden.	Beauty / Joy --- Humor	Sadness
Röslein, Röslein, Röslein roth,	Beauty / Joy	Sadness
Röslein auf der Heiden.	Beauty / Joy	Sadness


Der Spinnerin Nachtlied / Es sang vor langen Jahren		

Es sang vor langen Jahren	Beauty / Joy	Beauty / Joy
Wohl auch die Nachtigall,	Beauty / Joy	Beauty / Joy
Das war wohl süßer Schall,	Beauty / Joy	Beauty / Joy --- Sadness
Da wir zusammen waren.	Beauty / Joy	Beauty / Joy --- Sadness

Ich sing' und kann nicht weinen,	Beauty / Joy --- Sadness	Sadness
Und spinne so allein	Beauty / Joy --- Sadness	Sadness
Den Faden klar und rein	Beauty / Joy --- Sadness	Sadness
So lang der Mond wird scheinen.	Beauty / Joy --- Sadness	Sadness

Als wir zusammen waren	Sadness	Sadness
Da sang die Nachtigall	Sadness	Sadness
Nun mahnet mich ihr Schall	Sadness	Sadness
Daß du von mir gefahren.	Sadness	Sadness

So oft der Mond mag scheinen,	Sadness --- Beauty / Joy	Sadness
Denk' ich wohl dein allein.	Sadness --- Beauty / Joy	Sadness
Mein Herz ist klar und rein,	Sadness --- Beauty / Joy	Sadness
Gott wolle uns vereinen.	Sadness --- Beauty / Joy	Sadness

Seit du von mir gefahren,	Sadness	Sadness
Singt stets die Nachtigall,	Sadness	Sadness
Ich denk' bei ihrem Schall,	Sadness	Sadness
Wie wir zusammen waren.	Sadness	Sadness

Gott wolle uns vereinen	Sadness	Sadness
Hier spinn'ich so allein,	Sadness	Sadness
Der Mond scheint klar und rein,	Sadness	Sadness
Ich sing' und möchte weinen.	Sadness	Sadness


Das zerbrochene Ringlein		

In einem kühlen Grunde	Beauty / Joy	Sadness
Da geht ein Mühlenrad,	Beauty / Joy	Sadness
Mein Liebste ist verschwunden,	Sadness	Sadness
Die dort gewohnet hat.	Sadness	Sadness

Sie hat mir Treu versprochen,	Sadness	Sadness
Gab mir ein'n Ring dabei,	Sadness	Sadness
Sie hat die Treu gebrochen,	Sadness	Sadness
Mein Ringlein sprang entzwei.	Sadness	Sadness

Ich möcht als Spielmann reisen	Vitality	Vitality
Weit in die Welt hinaus,	Vitality	Vitality
Und singen meine Weisen,	Vitality	Vitality
Und gehn von Haus zu Haus.	Vitality	Vitality

Ich möcht als Reiter fliegen	Vitality	Vitality
Wohl in die blut'ge Schlacht,	Vitality	Vitality
Um stille Feuer liegen	Vitality	Vitality
Im Feld bei dunkler Nacht.	Vitality	Vitality

Hör ich das Mühlrad gehen:	Sadness	Sadness
Ich weiß nicht, was ich will -	Sadness	Sadness
Ich möcht am liebsten sterben,	Sadness	Sadness
Da wär's auf einmal still!	Sadness	Sadness


Ännchen von Tharau		

Ännchen von Tharau ist's die mir gefällt,	Beauty / Joy	Beauty / Joy
Sie ist mein Leben, mein Gut und mein Geld.	Beauty / Joy	Beauty / Joy
Ännchen von Tharau hat wieder ihr Herz	Beauty / Joy	Beauty / Joy
Auf mich gerichtet, in Lieb und in Schmerz	Beauty / Joy	Beauty / Joy
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy --- Awe / Sublime	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy --- Awe / Sublime	Beauty / Joy

Käm' alles Wetter gleich auf uns zu schlah'n	Beauty / Joy --- Awe / Sublime	Vitality --- Beauty / Joy
Wir sind gesinnt, beieinander zu stah'n.	Beauty / Joy --- Awe / Sublime	Vitality --- Beauty / Joy
Krankheit, Verfolgung, Betrübnis und Pein	Beauty / Joy --- Awe / Sublime	Vitality --- Beauty / Joy
Soll unsrer Liebe Verknotigung sein.	Beauty / Joy --- Awe / Sublime	Vitality --- Beauty / Joy
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy --- Awe / Sublime	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy --- Awe / Sublime	Beauty / Joy

Recht als ein Palmbaum über sich steigt,	Beauty / Joy	Beauty / Joy
Je mehr ihn Hagel und Regen angreift:	Beauty / Joy	Beauty / Joy
So werd' die Lieb in uns mächtig und groß,	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Vitality
Durch Kreuz, durch Leiden, durch allerlei Not.	Beauty / Joy --- Awe / Sublime	Beauty / Joy --- Vitality
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy --- Awe / Sublime	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy --- Awe / Sublime	Beauty / Joy

Würdest du gleich einmal von mir getrennt,	Beauty / Joy --- Vitality	Beauty / Joy
Lebtest da, wo man die Sonne kaum kennt:	Beauty / Joy --- Vitality	Beauty / Joy
Ich will dir folgen, durch Wälder, durch Meer,	Beauty / Joy --- Vitality	Beauty / Joy --- Vitality
Durch Eis, durch Eisen, durch feindliches Heer.	Beauty / Joy --- Vitality	Beauty / Joy --- Vitality
Ännchen von Tharau, mein' Sonne, mein Schein,	Beauty / Joy --- Awe / Sublime	Beauty / Joy
Mein Leben schließ' ich in deines hinein	Beauty / Joy --- Awe / Sublime	Beauty / Joy


Die Lore-Ley / Ich weiß nicht was soll es bedeuten		

Ich weiß nicht was soll es bedeuten,	Sadness	Sadness
Dass ich so traurig bin;	Sadness	Sadness
Ein Märchen aus uralten Zeiten,	Sadness	Suspense
Das kommt mir nicht aus dem Sinn.	Sadness	Suspense

Die Luft ist kühl und es dunkelt,	Beauty / Joy	Beauty / Joy
Und ruhig fließt der Rhein;	Beauty / Joy	Beauty / Joy
Der Gipfel des Berges funkelt	Beauty / Joy	Beauty / Joy
Im Abendsonnenschein.	Beauty / Joy	Beauty / Joy

Die schönste Jungfrau sitzet	Beauty / Joy	Beauty / Joy
Dort oben wunderbar;	Beauty / Joy	Beauty / Joy
Ihr goldnes Geschmeide blitzet,	Beauty / Joy	Beauty / Joy
Sie kämmt ihr goldenes Haar.	Beauty / Joy	Beauty / Joy

Sie kämmt es mit goldenem Kamme	Beauty / Joy	Beauty / Joy
Und singt ein Lied dabei;	Beauty / Joy	Beauty / Joy
Das hat eine wundersame,	Beauty / Joy	Beauty / Joy
Gewaltige Melodei.	Beauty / Joy	Beauty / Joy

Den Schiffer im kleinen Schiffe	Suspense --- Beauty / Joy	Beauty / Joy
Ergreift es mit wildem Weh;	Suspense --- Beauty / Joy	Beauty / Joy
Er schaut nicht die Felsenriffe,	Suspense --- Beauty / Joy	Beauty / Joy
Er schaut nur hinauf in die Höh.	Suspense --- Beauty / Joy	Beauty / Joy

Ich glaube, die Wellen verschlingen	Sadness	Beauty / Joy
Am Ende Schiffer und Kahn;	Sadness	Beauty / Joy
Und das hat mit ihrem Singen	Sadness	Beauty / Joy
Die Lore-Ley getan.	Sadness	Beauty / Joy


Wünschelrute		

Schläft ein Lied in allen Dingen,	Awe / Sublime --- Beauty / Joy	Beauty / Joy --- Awe / Sublime
Die da träumen fort und fort,	Awe / Sublime --- Beauty / Joy	Beauty / Joy --- Awe / Sublime
Und die Welt hebt an zu singen,	Awe / Sublime --- Beauty / Joy	Beauty / Joy --- Awe / Sublime
Triffst du nur das Zauberwort.	Awe / Sublime --- Beauty / Joy	Beauty / Joy --- Awe / Sublime


Abendlied		

Augen, meine lieben Fensterlein,	Beauty / Joy	Beauty / Joy
Gebt mir schon so lange holden Schein,	Beauty / Joy	Beauty / Joy
Lasset freundlich Bild um Bild herein:	Beauty / Joy	Beauty / Joy
Einmal werdet ihr verdunkelt sein!	Beauty / Joy --- Sadness	Uneasiness

Fallen einst die müden Lider zu,	Sadness --- Beauty / Joy	Beauty / Joy
Löscht ihr aus, dann hat die Seele Ruh;	Sadness --- Beauty / Joy	Beauty / Joy
Tastend streift sie ab die Wanderschuh',	Sadness --- Beauty / Joy	Beauty / Joy
Legt sich auch in ihre finstre Truh.	Sadness --- Beauty / Joy	Beauty / Joy

Noch zwei Fünklein sieht sie glimmend stehn,	Sadness --- Beauty / Joy	Beauty / Joy
Wie zwei Sternlein innerlich zu sehn,	Sadness --- Beauty / Joy	Beauty / Joy
Bis sie schwanken und dann auch vergehn,	Sadness --- Beauty / Joy	Beauty / Joy
Wie von eines Falters Flügelwehn.	Sadness --- Beauty / Joy	Beauty / Joy

Doch noch wandl' ich auf dem Abendfeld,	Vitality	Beauty / Joy
Nur dem sinkenden Gestirn gesellt;	Vitality	Beauty / Joy
Trinkt, o Augen, was die Wimper hält,	Vitality	Beauty / Joy --- Awe / Sublime
Von dem goldnen Überfluß der Welt!	Vitality	Beauty / Joy --- Awe / Sublime


Weltende		

Dem Bürger fliegt vom spitzen Kopf der Hut,	Uneasiness	Humor
In allen Lüften hallt es wie Geschrei.	Uneasiness	Uneasiness
Dachdecker stürzen ab und gehn entzwei	Uneasiness	Uneasiness
Und an den Küsten ? liest man ? steigt die Flut.	Uneasiness	Uneasiness --- Humor

Der Sturm ist da, die wilden Meere hupfen	Uneasiness	Beauty / Joy
An Land, um dicke Dämme zu zerdrücken.	Uneasiness	Beauty / Joy
Die meisten Menschen haben einen Schnupfen.	Uneasiness --- Humor	Humor
Die Eisenbahnen fallen von den Brücken.	Uneasiness	Uneasiness


Beschreibung vollkommener Schönheit / Ein haar so kühnlich		

Ein haar so kühnlich trotz der Berenice spricht	Beauty / Joy	Beauty / Joy
Ein mund / der rosen führt und perlen in sich heget	Beauty / Joy	Beauty / Joy
Ein zünglein / so ein gifft vor tausend hertzen träget	Beauty / Joy	Beauty / Joy
Zwo brüste / wo rubin durch alabaster bricht	Beauty / Joy	Beauty / Joy

Ein hals / der schwanen-schnee weit weit zurücke sticht	Beauty / Joy	Beauty / Joy
Zwey wangen / wo die pracht der Flora sich beweget	Beauty / Joy	Beauty / Joy
Ein blick / der blitze führt und männer niederleget	Beauty / Joy	Beauty / Joy
Zwey armen / derer krafft offt leuen hingericht	Beauty / Joy	Beauty / Joy

Ein hertz / aus welchem nichts als mein verderben quillet	Beauty / Joy --- Sadness	Sadness
Ein wort / so himmlisch ist / und mich verdammen kan	Beauty / Joy --- Sadness	Sadness
Zwey hände / derer grimm mich in den bann gethan	Beauty / Joy --- Sadness	Sadness

Und durch ein süsses gifft die seele selbst umhüllet	Beauty / Joy --- Sadness	Beauty / Joy
Ein zierrath / wie es scheint / im paradieß gemacht	Beauty / Joy --- Sadness	Beauty / Joy
Hat mich um meinen witz und meine freyheit bracht.	Beauty / Joy --- Sadness	Beauty / Joy


Deutschland. Ein Wintermärchen, Caput 18 / XVIII		

Minden ist eine feste Burg,	Humor	Vitality
Hat gute Wehr und Waffen!	Humor	Vitality
Mit preußischen Festungen hab ich jedoch	Humor	Vitality
Nicht gerne was zu schaffen.	Humor	Vitality

Wir kamen dort an zur Abendzeit.	Suspense	Uneasiness
Die Planken der Zugbrück' stöhnten	Suspense --- Uneasiness	Uneasiness
So schaurig, als wir hinübergerollt;	Suspense --- Uneasiness	Uneasiness
Die dunklen Gräben gähnten.	Suspense --- Uneasiness	Uneasiness

Die hohen Bastionen schauten mich an,	Uneasiness	Uneasiness
So drohend und verdrossen;	Uneasiness	Uneasiness
Das große Tor ging rasselnd auf,	Uneasiness	Uneasiness
Ward rasselnd wieder geschlossen.	Uneasiness	Uneasiness

Ach! meine Seele ward betrübt,	Sadness	Sadness
Wie des Odysseus Seele,	Sadness	Sadness
Als er gehört, daß Polyphem	Sadness	Sadness
Den Felsblock schob vor die Höhle.	Sadness	Sadness

Es trat an den Wagen ein Korporal	Suspense	Suspense
Und frug uns: wie wir hießen?	Suspense	Suspense
»Ich heiße Niemand, bin Augenarzt	Suspense	Suspense
Und steche den Star den Riesen.«	Suspense	Suspense

Im Wirtshaus ward mir noch schlimmer zumut,	Sadness	Sadness
Das Essen wollt mir nicht schmecken.	Sadness	Sadness
Ging schlafen sogleich, doch schlief ich nicht,	Sadness	Sadness
Mich drückten so' schwer die Decken.	Sadness	Sadness

Es war ein breites Federbett,	Beauty / Joy	Beauty / Joy
Gardinen von rotem Damaste,	Beauty / Joy	Beauty / Joy
Der Himmel von verblichenem Gold,	Beauty / Joy	Beauty / Joy
Mit einem schmutzigen Quaste.	Beauty / Joy	Beauty / Joy

Verfluchter Quast! der die ganze Nacht	Humor	Uneasiness
Die liebe Ruhe mir raubte!	Humor	Uneasiness
Er hing mir, wie des Damokles Schwert,	Uneasiness	Uneasiness
So drohend über dem Haupte!	Uneasiness	Uneasiness

Schien manchmal ein Schlangenkopf zu sein,	Uneasiness	Uneasiness
Und ich hörte ihn heimlich zischen:	Uneasiness	Uneasiness
»Du bist und bleibst in der Festung jetzt,	Uneasiness	Uneasiness
Du kannst nicht mehr entwischen!«	Uneasiness	Uneasiness

»Oh, daß ich wäre« ? seufzte ich ?,	Sadness	Sadness
»Daß ich zu Hause wäre,	Sadness	Sadness
Bei meiner lieben Frau in Paris,	Sadness	Sadness
Im Faubourg Poissonnière!«	Sadness	Sadness

Ich fühlte, wie über die Stirne mir	Uneasiness	Uneasiness
Auch manchmal etwas gestrichen,	Uneasiness	Uneasiness
Gleich einer kalten Zensorhand,	Uneasiness	Uneasiness
Und meine Gedanken wichen ?	Uneasiness	Uneasiness

Gendarmen in Leichenlaken gehüllt,	Uneasiness	Uneasiness
Ein weißes Spukgewirre,	Uneasiness	Uneasiness
Umringte mein Bett, ich hörte auch	Uneasiness	Uneasiness
Unheimliches Kettengeklirre.	Uneasiness	Uneasiness

Ach! Die Gespenster schleppten mich fort,	Uneasiness	Uneasiness
Und ich hab mich endlich befunden	Uneasiness	Uneasiness
An einer steilen Felsenwand;	Uneasiness	Uneasiness
Dort war ich festgebunden.	Uneasiness	Uneasiness

Der böse schmutzige Betthimmelquast!	Humor	Humor
Ich fand ihn gleichfalls wieder,	Uneasiness	Uneasiness
Doch sah er jetzt wie ein Geier aus,	Uneasiness	Uneasiness
Mit Krallen und schwarzem Gefieder.	Uneasiness	Uneasiness

Er glich dem preußischen Adler jetzt,	Uneasiness	Uneasiness
Und hielt meinen Leib umklammert;	Uneasiness	Uneasiness
Er fraß mir die Leber aus der Brust,	Uneasiness	Uneasiness
Ich habe gestöhnt und gejammert.	Uneasiness	Uneasiness

Ich jammerte lange ? da krähte der Hahn,	Humor	Sadness
Und der Fiebertraum erblaßte.	Humor	Sadness
Ich lag zu Minden im schwitzenden Bett,	Humor	Sadness
Der Adler ward wieder zum Quaste.	Humor	Humor

Ich reiste fort mit Extrapost,	Beauty / Joy	Beauty / Joy
Und schöpfte freien Odem	Beauty / Joy	Beauty / Joy
Erst draußen in der freien Natur,	Beauty / Joy	Beauty / Joy
Auf bückeburg'schem Boden.	Beauty / Joy	Beauty / Joy


Das Karussell		

Mit einem Dach und seinem Schatten dreht	Beauty / Joy	Beauty / Joy
sich eine kleine Weile der Bestand	Beauty / Joy	Beauty / Joy
von bunten Pferden, alle aus dem Land,	Beauty / Joy	Beauty / Joy
das lange zögert, eh es untergeht.	Beauty / Joy	Beauty / Joy
Zwar manche sind an Wagen angespannt,	Beauty / Joy	Beauty / Joy
doch alle haben Mut in ihren Mienen;	Beauty / Joy	Beauty / Joy
ein böser roter Löwe geht mit ihnen	Beauty / Joy	Beauty / Joy
und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy

Sogar ein Hirsch ist da, ganz wie im Wald,	Beauty / Joy	Beauty / Joy --- Humor
nur dass er einen Sattel trägt und drüber	Beauty / Joy	Beauty / Joy --- Humor
ein kleines blaues Mädchen aufgeschnallt.	Beauty / Joy	Beauty / Joy --- Humor

Und auf dem Löwen reitet weiß ein Junge	Beauty / Joy	Beauty / Joy
und hält sich mit der kleinen heißen Hand	Beauty / Joy	Beauty / Joy
dieweil der Löwe Zähne zeigt und Zunge.	Beauty / Joy	Beauty / Joy
Und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy

Und auf den Pferden kommen sie vorüber,	Beauty / Joy	Beauty / Joy
auch Mädchen, helle, diesem Pferdesprunge	Beauty / Joy	Beauty / Joy
fast schon entwachsen; mitten in dem Schwunge	Beauty / Joy	Beauty / Joy
schauen sie auf, irgendwohin, herüber -	Beauty / Joy	Beauty / Joy
Und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy

Und das geht hin und eilt sich, dass es endet,	Vitality --- Beauty / Joy	Vitality --- Beauty / Joy
und kreist und dreht sich nur und hat kein Ziel.	Vitality --- Beauty / Joy	Vitality --- Beauty / Joy
Ein Rot, ein Grün, ein Grau vorbeigesendet,	Vitality --- Beauty / Joy	Beauty / Joy
ein kleines kaum begonnenes Profil -.	Vitality --- Beauty / Joy	Beauty / Joy
Und manchesmal ein Lächeln, hergewendet,	Vitality --- Beauty / Joy	Beauty / Joy
ein seliges, das blendet und verschwendet	Vitality --- Beauty / Joy	Beauty / Joy
an dieses atemlose blinde Spiel...	Vitality --- Beauty / Joy	Beauty / Joy


Die Tote im Wasser		

Die Masten ragen an dem grauen Wall	Uneasiness	Uneasiness
Wie ein verbrannter Wald ins frühe Rot,	Uneasiness	Uneasiness
